reviewer,stars,title,review,date,country
Crazy shopper,5,Absolutely fantastic book,"Absolutely fantastic book. One of the best books i've ever read in the thousands i've read to date, superb read and totally recommend it",2020-07-06,Reino Unido
GOLDWINGER1500,4,Some Interesting Facts,Some Interesting Facts. A very well written and well researched book looking into why certain groups of the population are more successful than others.,2021-01-11,Reino Unido
Amazon Customer,4,Insightful and interesting,"Insightful and interesting. What I enjoyed about this book is it's  straightforward and brings facts to the table, whilst explaining how the stories mentioned contributed to success.",2018-03-28,Reino Unido
ADD,5,Perhaps my book of the year 2020,"Perhaps my book of the year 2020. Reminds of Yuval Noah Harari in a way it's written: simple, informative, clever.",2021-04-21,Reino Unido
Terry,5,Very insightful,Very insightful. Excellent read and changed my views on why people perform better than others.,2022-01-14,Reino Unido
nazareno,5,"Outstanding, love every chapter","Outstanding, love every chapter. Hooked from day one, was not familiar with the author and now I understand why he keeps hitting home runs, every book is a best seller, cannot put it down.",2017-07-05,Reino Unido
Mr. A. O. Akintayo,5,Outstanding...my 2nd best book of all time,"Outstanding...my 2nd best book of all time. Outstanding....I bought a kindle edition, bought another kindle edition for my wife but i need a hard copy for my library. My 7 year old needs to read this at some point.",2020-05-28,Reino Unido
Amazon Customer,4,Amazing book,Amazing book. He develops his points in a subtle but shrewd way. Uses great examples from different areas. generally great writing as well,2019-03-07,Reino Unido
JennyB,4,Very engaging,"Very engaging. I had read Bounce (Outliers came first) and much of the same studies are repeated in this book so I skipped a lot. But if you haven't, it's a good read and really makes you think about the nature of success and talent. It would be an interesting one for a book club as it offers much to debate such as about nature/nurture, social mobility and how advantageous our beginnings are.",2014-08-07,Reino Unido
Stef,5,Great book from an excellent author,Great book from an excellent author. I love this book it shows the mechanics of success and really gets you thinking about your own successes and how to ensure your families success in the future,2019-12-31,Reino Unido
Neil S.,2,Not great... I prefer his podcasts!,"Not great... I prefer his podcasts!. Basic concept repeated over and over again in a few brief chapters - basically your background, ethnicity and when you were born have an effect on your chances of being successfull - mind blown. I love his podcasts but this book is kind of feeble, sorry.",2021-06-08,Reino Unido
Zak Kurdi,5,This book is fantastic,"This book is fantastic. I am a big fan of business literature and have read books by authors such as Jim Collins, Dale Carnegie and more.",2013-10-20,Reino Unido
pbj,3,A little drawn out !,"A little drawn out !. Very interesting but somewhat repetitive narrative , I suspect the message could have been delivered in a couple of chapters!!",2018-11-09,Reino Unido
Seth Fearey,5,A great resource for thinking about your career,"A great resource for thinking about your career. One favorite books ever.  I keeping using the stories to help students develop their career plans.  Good luck is critical, but you have to be ready to take advantage of that luck.",2017-08-20,Reino Unido
Psytech,5,Wonderfully interesting book - ok so you only see it ...,"Wonderfully interesting book - ok so you only see it .... Wonderfully interesting book - ok so you only see it from the authors view - no critical analysis in this book, but some interesting points nevertheless",2016-04-04,Reino Unido
H Eaton,5,Paradigm Shifting,Paradigm Shifting. Thoroughly impressive. Gladwell writes wonderfully and highlights the perhaps unlikely backstories of people and events we write off and successful.  Very readable and throughly recommended. I can't think of a single person who wouldn't benefit from this book.,2017-07-31,Reino Unido
Anita Haider,5,Brilliant,Brilliant. Exceptionally well-researched and beautifully written. Gladwell captures the reader from the outset to the very last word. He masters the balance between scientific writing and story- telling with just the right amount of detail.  Highly recommended.,2018-12-21,Reino Unido
Jk0666,5,Good sized book to fit in your luggage or handbag,Good sized book to fit in your luggage or handbag. Not finished this yet (40 per cent through ) but book arrived in gold quality as per Amazon standard. Interesting book about the impact of socio economic factors and luck paved the way for some of the world's most recognisably successful entrepreneurs/athletes.,2019-07-10,Reino Unido
E O,3,Inspiring book,Inspiring book. Very very good read. I just didnt like the quality of the book. Im just fussy lol,2018-12-27,Reino Unido
James Leo,5,This is an excellent book and I highly recommend it,This is an excellent book and I highly recommend it. This is an excellent book and I highly recommend it.  The insights which are constructed on top of careful research are ground breaking and shook my previous understanding of how success comes about to its very foundation.  Part one of the book entitled Opportunity is very well written and I sailed through the 5 chapters in record time.,2016-08-17,Reino Unido
